id stretch Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs pre_temp pre_power sol_time eff_time
20 9.4 100 0 0.0 0.0 550 300 40 9
3 6.76 85 0 14.5 0.5 575 300 50 24
2 7.88 85 0 14.5 0.5 550 300 50 24
24 5.5 99 1 0.0 0.0 550 300 40 15
28 9.8 100 0 0.0 0.0 550 300 40 18
11 5.41 85 0 15.0 0.0 550 300 50 24
21 3.8 85 0 15.0 0.0 550 300 40 9
