Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Rh_211_bridge2-t   0.249   2.734   2.707   0.99   3.32   9.0   2   -1.493   2.354   1.896   10.752   5.078   7.459   1.143   7.871   1.1   2.28   1.841   0.137   
OH_Pd@Ir_211_bridge2-t-2   0.478   2.753   2.717   1.08   4.45   9.0   2   -1.963   2.702   0.795   4.896   5.489   9.121   1.564   7.673   1.294   2.2   1.339   0.131   
OH_Au@Ni_211_top-t-1   0.447   2.502   2.511   0.71   1.16   9.0   1   -1.219   1.787   2.525   16.575   4.945   7.64   1.157   8.693   1.261   1.91   2.003   0.145   
OH_AgPd_211_bridge1-s-3   0.766   2.902   2.867   0.915   2.52   8.0   2   -2.369   1.179   1.616   11.562   4.819   7.957   0.933   9.66   0.851   2.065   0.268   0.177   
OH_Ag@Cu_211_bridge2-s-1   -0.014   2.794   2.757   0.78   1.63   8.0   2   -3.229   1.054   2.287   16.613   4.573   7.651   1.27   9.791   1.03   1.915   0.066   0.274   
OH_Pt@Rh_211_bridge1-s-3   0.204   2.734   2.699   0.99   3.32   8.0   2   -1.392   2.234   1.851   10.94   5.078   7.459   1.143   7.905   1.052   2.28   2.018   0.183   
OH_Pt@Rh_211_fcc-s-2   0.264   2.734   2.704   0.99   3.32   8.333   3   -1.418   2.273   1.848   10.83   5.078   7.459   1.143   7.892   1.074   2.28   1.975   0.168   
OH_Au_211_top-s   1.185   2.99   2.936   1.01   3.35   7.0   1   -3.127   1.323   1.43   10.044   5.28   9.226   2.309   9.736   1.201   2.54   0.079   0.26   
OH_Pt@Rh_211_bridge3-s-1   0.465   2.786   2.734   1.015   3.61   8.5   2   -1.763   2.153   1.553   8.677   5.414   8.209   1.634   8.316   1.088   2.28   1.439   0.159   
OH_IrRu_211_hcp-t-1   0.466   2.739   2.716   1.06   4.063   9.333   3   -1.603   2.444   0.593   4.399   5.089   7.948   1.219   7.23   1.072   2.2   1.521   0.133   
OH_Ru_211_bridge1-s   -0.104   2.732   2.69   1.05   3.87   8.0   2   -1.261   2.037   0.384   3.566   4.889   7.361   1.046   7.109   0.857   2.2   1.529   0.206   
OH_AgAu_211_bridge1-t-3   0.924   2.985   2.982   0.89   2.26   9.5   2   -3.901   1.178   2.351   15.467   4.427   7.576   1.304   9.796   1.115   1.93   0.048   0.215   
OH_Ir_211_top-t   0.506   2.753   2.715   1.08   4.45   9.0   1   -2.027   2.683   0.694   4.35   5.489   9.121   1.564   7.68   1.31   2.2   1.263   0.122   
OH_Ag_110_shortbridge   0.363   2.985   2.95   0.89   2.26   7.0   2   -3.981   0.882   2.264   17.492   4.398   7.576   1.304   9.901   1.034   1.93   0.035   0.327   
OH_Pt@Rh_211_bridge2-t-1   0.323   2.734   2.714   0.99   3.32   9.0   2   -1.47   2.351   1.843   10.61   5.078   7.459   1.143   7.866   1.117   2.28   1.89   0.139   
OH_Ru_211_fcc-s   -0.118   2.732   2.692   1.05   3.87   8.333   3   -1.296   2.07   0.383   3.447   4.889   7.361   1.046   7.095   0.871   2.2   1.457   0.185   
OH_Ni_211_top-t   0.526   2.502   2.482   0.71   1.16   9.0   1   -1.27   1.809   2.613   16.595   4.945   7.64   1.157   8.801   1.275   1.91   1.917   0.145   
OH_IrRu_211_bridge1-t-3   0.59   2.753   2.717   1.08   4.45   9.5   2   -1.956   2.568   0.939   5.05   5.489   9.121   1.564   7.618   1.264   2.2   1.183   0.151   
OH_Ag_211_hcp-s   0.38   2.985   2.955   0.89   2.26   7.667   3   -4.016   0.996   3.021   23.078   4.427   7.576   1.304   9.853   1.084   1.93   0.034   0.287   
