Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_AgPd_211_top-t-2   1.339   2.985   2.894   0.89   2.26   9.0   1   -3.508   1.097   2.385   12.429   4.427   7.576   1.304   9.85   0.977   1.93   0.049   0.168   
OH_Pt@Rh_211_hcp-t-1   0.637   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
OH_Au@Ni_211_top-t-2   0.441   2.502   2.473   0.71   1.16   9.0   1   -1.281   1.83   2.584   16.216   4.945   7.64   1.157   8.704   1.273   1.91   1.907   0.143   
OH_AgAu_211_bridge1-s-2   0.791   2.985   2.965   0.89   2.26   8.0   2   -3.847   1.079   2.273   15.66   4.427   7.576   1.304   9.824   1.038   1.93   0.042   0.223   
OH_Cu_110_shortbridge   -0.208   2.603   2.562   0.67   1.0   7.0   2   -2.234   0.899   0.817   9.927   4.699   7.726   1.236   9.824   1.113   1.9   0.099   0.287   
OH_Ag@Cu_211_bridge2-t-1   0.158   2.603   2.603   0.67   1.0   9.0   2   -2.399   1.02   1.251   11.696   4.719   7.726   1.236   9.719   1.248   1.9   0.104   0.253   
OH_Rh_211_top-s   0.1   2.734   2.694   0.99   3.32   7.0   1   -1.293   2.1   1.885   11.473   5.078   7.459   1.143   7.974   0.988   2.28   2.07   0.24   
OH_Pd@Ir_211_hcp-t-2   1.105   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
OH_Ir_211_bridge3-s   0.189   2.753   2.727   1.08   4.45   8.5   2   -1.848   2.58   0.707   4.787   5.489   9.121   1.564   7.754   1.273   2.2   1.437   0.178   
OH_Pd@Ir_211_top-t-2   0.509   2.753   2.708   1.08   4.45   9.0   1   -1.986   2.793   0.887   5.248   5.489   9.121   1.564   7.656   1.296   2.2   1.307   0.12   
OH_Ru_110_shortbridge   -0.628   2.732   2.671   1.05   3.87   7.0   2   -1.255   1.952   0.34   3.493   4.764   7.361   1.046   7.115   0.827   2.2   1.781   0.204   
OH_Ag@Cu_211_bridge1-t-1   0.356   2.603   2.602   0.67   1.0   9.5   2   -2.444   1.082   1.56   13.114   4.719   7.726   1.236   9.733   1.284   1.9   0.104   0.241   
OH_Pd_111_bridge   0.596   2.819   2.821   0.94   2.78   9.0   2   -1.614   1.339   0.576   4.833   5.422   8.337   0.562   9.318   0.764   2.2   2.114   0.127   
OH_Au@Ni_211_hcp-t-2   0.176   2.502   2.495   0.71   1.16   9.333   3   -1.268   1.839   2.59   16.407   4.945   7.64   1.157   8.709   1.284   1.91   1.915   0.134   
OH_PtRh_211_top-t-1   0.737   2.838   2.77   1.04   3.9   9.0   1   -2.207   2.154   1.403   7.672   5.75   8.959   2.125   8.727   1.118   2.28   1.525   0.128   
OH_PtRh_211_bridge2-t-1   0.563   2.786   2.761   1.015   3.61   9.0   2   -1.809   2.22   1.459   8.591   5.414   8.209   1.634   8.33   1.166   2.28   2.02   0.134   
OH_AgPd_211_bridge2-s-1   0.451   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
OH_Ag_100_bridge   0.274   2.985   2.977   0.89   2.26   8.0   2   -3.983   0.95   2.723   20.403   4.432   7.576   1.304   9.905   1.073   1.93   0.032   0.244   
OH_Ir_211_bridge2-t   0.562   2.753   2.715   1.08   4.45   9.0   2   -2.027   2.683   0.694   4.35   5.489   9.121   1.564   7.682   1.31   2.2   1.263   0.122   
OH_Ag@Cu_211_bridge3-s-2   0.169   2.603   2.575   0.67   1.0   8.5   2   -2.394   1.056   1.596   13.849   4.719   7.726   1.236   9.764   1.23   1.9   0.097   0.257   
OH_Pd_211_bridge1-t   0.8   2.819   2.817   0.94   2.78   9.5   2   -1.692   1.401   0.68   5.034   5.21   8.337   0.562   9.272   0.796   2.2   2.219   0.118   
OH_Ni_110_shortbridge   -0.502   2.502   2.462   0.71   1.16   7.0   2   -1.198   1.668   2.732   18.494   4.733   7.64   1.157   8.773   1.121   1.91   2.17   0.181   
OH_Pt@Rh_211_bridge2-s-1   -0.123   2.786   2.714   1.015   3.61   7.0   2   -1.667   1.96   1.45   8.576   5.414   8.209   1.634   8.369   1.009   2.28   1.633   0.221   
OH_Rh_111_bridge   0.197   2.734   2.725   0.99   3.32   9.0   2   -1.516   2.023   1.077   6.347   5.347   7.459   1.143   7.991   1.094   2.28   1.765   0.158   
OH_Au@Ni_211_bridge3-s-2   0.029   2.502   2.482   0.71   1.16   8.5   2   -1.226   1.788   2.568   16.836   4.945   7.64   1.157   8.738   1.246   1.91   1.95   0.164   
OH_Au@Ni_211_fcc-s-2   -0.107   2.502   2.483   0.71   1.16   8.333   3   -1.218   1.763   2.529   16.689   4.945   7.64   1.157   8.723   1.235   1.91   1.988   0.167   
OH_Pt@Rh_211_bridge3-s-2   0.174   2.734   2.713   0.99   3.32   8.5   2   -1.396   2.301   1.943   11.395   5.078   7.459   1.143   7.893   1.074   2.28   1.975   0.168   
OH_AgAu_211_bridge1-s-4   1.103   2.99   2.945   1.01   3.35   8.0   2   -3.281   1.318   1.959   13.591   5.28   9.226   2.309   9.726   1.288   2.54   0.076   0.292   
OH_AgAu_211_bridge1-t-1   1.239   2.99   2.968   1.01   3.35   9.5   2   -3.404   1.398   1.966   12.688   5.28   9.226   2.309   9.705   1.353   2.54   0.085   0.263   
OH_Ag@Cu_211_bridge2-s-2   -0.235   2.603   2.552   0.67   1.0   7.0   2   -2.316   0.977   1.235   12.981   4.719   7.726   1.236   9.796   1.173   1.9   0.089   0.29   
OH_Au@Ni_211_bridge2-t-2   -0.016   2.502   2.492   0.71   1.16   9.0   2   -1.251   1.808   2.556   16.404   4.945   7.64   1.157   8.705   1.267   1.91   1.952   0.144   
OH_Ni_211_bridge1-s   0.028   2.502   2.473   0.71   1.16   8.0   2   -1.224   1.729   2.657   17.424   4.945   7.64   1.157   8.833   1.21   1.91   1.88   0.182   
OH_Cu_211_bridge3-s   0.181   2.603   2.577   0.67   1.0   8.5   2   -2.372   1.044   1.709   14.199   4.719   7.726   1.236   9.719   1.209   1.9   0.097   0.244   
OH_Au@Ni_211_bridge1-s-2   0.027   2.502   2.488   0.71   1.16   8.0   2   -1.186   1.73   2.502   16.925   4.945   7.64   1.157   8.732   1.216   1.91   2.028   0.18   
OH_Cu_211_bridge2-t   0.28   2.603   2.581   0.67   1.0   9.0   2   -2.391   1.117   2.175   17.132   4.719   7.726   1.236   9.68   1.239   1.9   0.105   0.239   
OH_Pd@Ir_211_bridge3-s-2   0.155   2.753   2.723   1.08   4.45   8.5   2   -1.863   2.581   0.738   4.898   5.489   9.121   1.564   7.743   1.265   2.2   1.479   0.182   
