id expansion current Ar H2 i-Al2O3 crystal pore Al2O3 pore_size
2 10.1 550 25 12 5 1.761 3.88 2.36 560.56
3 9.79 600 25 12 5 2.073 2.52 0.9 547.82
7 7.59 600 38 8 10 2.49 3.28 0.9 617.89
5 8.55 550 38 8 10 2.384 5.3 3.24 732.55
18 8.67 550 25 12 25 2.017 6.66 2.12 668.85
