Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
C_Ru_100_hollow   0.575   2.732   2.703   1.05   3.87   8.0   4   -1.198   2.031   0.432   3.925   5.109   7.361   1.046   7.128   0.861   2.2   1.968   0.238   
C_AgAu_211_hcp-s-2   4.889   2.987   2.951   0.93   2.623   7.667   3   -3.638   1.138   2.156   15.106   4.712   8.126   1.639   9.796   1.107   2.133   0.051   0.253   
C_Ni_110_longbridge   1.629   2.502   2.477   0.71   1.16   9.0   4   -1.316   1.818   2.609   16.556   4.733   7.64   1.157   8.721   1.264   1.91   1.978   0.139   
C_Au@Ni_211_fcc-t-1   2.022   2.502   2.508   0.71   1.16   9.667   3   -1.261   1.864   2.577   16.318   4.945   7.64   1.157   8.691   1.303   1.91   1.856   0.126   
C_Pd@Ir_211_four-fold-s-1   1.673   2.77   2.746   1.045   4.032   8.5   4   -1.954   2.371   0.701   5.123   5.42   8.925   1.314   8.1   1.169   2.2   1.257   0.161   
C_Pd_100_hollow   1.223   2.819   2.816   0.94   2.78   8.0   4   -1.528   1.308   0.817   6.652   5.279   8.337   0.562   9.316   0.721   2.2   1.885   0.135   
C_PtRh_211_hcp-s-2   1.89   2.803   2.749   1.023   3.707   7.667   3   -1.814   2.034   1.334   8.158   5.526   8.459   1.798   8.523   1.083   2.28   1.752   0.184   
C_Ir_110_longbridge   1.582   2.753   2.717   1.08   4.45   9.0   4   -2.018   2.735   0.861   5.235   5.208   9.121   1.564   7.7   1.277   2.2   1.55   0.167   
C_AgPd_211_four-fold-s-2   3.462   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
C_Cu_211_hcp-t   4.29   2.603   2.587   0.67   1.0   9.333   3   -2.415   1.122   2.107   16.356   4.719   7.726   1.236   9.687   1.255   1.9   0.105   0.234   
C_IrRu_211_four-fold-s-1   1.345   2.743   2.712   1.065   4.16   8.5   4   -1.568   2.356   0.636   4.707   5.189   8.241   1.305   7.367   1.073   2.2   1.537   0.219   
C_Pt_211_fcc-t   2.375   2.838   2.842   1.04   3.9   9.667   3   -2.076   2.073   0.864   5.498   5.75   8.959   2.125   8.792   1.219   2.28   1.579   0.106   
C_Au@Ni_211_hcp-s-2   2.041   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
C_Pd@Ir_211_hcp-t-2   2.028   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
C_Rh_211_hcp-t   1.859   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
C_Pt@Rh_211_fcc-s-2   1.96   2.734   2.704   0.99   3.32   8.333   3   -1.418   2.273   1.848   10.83   5.078   7.459   1.143   7.892   1.074   2.28   1.975   0.168   
C_Rh_110_longbridge   1.413   2.734   2.703   0.99   3.32   9.0   4   -1.524   2.374   1.937   11.072   4.831   7.459   1.143   7.884   1.09   2.28   1.979   0.13   
C_IrRu_211_hcp-s-2   1.521   2.739   2.695   1.06   4.063   7.667   3   -1.445   2.265   0.533   4.622   5.089   7.948   1.219   7.272   0.991   2.2   1.793   0.256   
C_Pt@Rh_211_hcp-s-1   1.776   2.769   2.714   1.007   3.513   7.667   3   -1.601   2.09   1.581   9.254   5.302   7.959   1.47   8.201   1.045   2.28   1.719   0.194   
C_Pt@Rh_211_fcc-t-1   2.078   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
C_AgAu_211_four-fold-s-2   4.72   2.988   2.961   0.95   2.805   8.5   4   -3.602   1.221   2.127   14.442   4.854   8.401   1.807   9.765   1.185   2.235   0.061   0.25   
C_Pd_211_four-fold-s   1.393   2.819   2.808   0.94   2.78   8.5   4   -1.628   1.333   0.665   5.397   5.21   8.337   0.562   9.293   0.751   2.2   2.125   0.13   
C_Ru_110_longbridge   1.37   2.732   2.694   1.05   3.87   9.0   4   -1.396   2.129   0.396   3.216   4.764   7.361   1.046   7.089   0.903   2.2   1.478   0.153   
C_Ni_100_hollow   0.881   2.502   2.486   0.71   1.16   8.0   4   -1.173   1.742   2.725   18.035   5.115   7.64   1.157   8.691   1.198   1.91   1.899   0.173   
C_Pt@Rh_211_hcp-s-2   1.497   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.192   1.837   11.014   5.078   7.459   1.143   7.921   1.038   2.28   2.064   0.199   
C_Pt_111_hcp   2.129   2.838   2.838   1.04   3.9   9.0   3   -1.944   1.98   0.835   5.619   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
C_Pt_211_fcc-s   1.995   2.838   2.807   1.04   3.9   8.333   3   -1.989   2.003   0.825   5.621   5.75   8.959   2.125   8.786   1.167   2.28   1.766   0.145   
C_Ag@Cu_211_hcp-s-2   4.181   2.603   2.559   0.67   1.0   7.667   3   -2.348   1.021   1.475   13.783   4.719   7.726   1.236   9.782   1.194   1.9   0.094   0.274   
C_Pd@Ir_211_four-fold-s-2   1.786   2.753   2.723   1.08   4.45   8.5   4   -1.863   2.581   0.738   4.898   5.489   9.121   1.564   7.743   1.265   2.2   1.479   0.182   
C_Rh_211_four-fold-s   1.222   2.734   2.714   0.99   3.32   8.5   4   -1.395   2.276   1.931   11.24   5.078   7.459   1.143   7.91   1.066   2.28   1.921   0.173   
C_Pd_110_longbridge   1.536   2.819   2.799   0.94   2.78   9.0   4   -1.669   1.382   0.629   4.918   5.008   8.337   0.562   9.361   0.772   2.2   2.4   0.091   
C_Ag_211_hcp-t   5.676   2.985   2.976   0.89   2.26   9.333   3   -4.047   1.126   3.305   24.126   4.427   7.576   1.304   9.841   1.167   1.93   0.04   0.275   
C_PtRh_211_fcc-t-2   2.386   2.803   2.785   1.023   3.707   9.667   3   -1.955   2.239   1.483   8.389   5.526   8.459   1.798   8.442   1.177   2.28   1.687   0.11   
C_Ir_211_fcc-s   2.282   2.753   2.709   1.08   4.45   8.333   3   -1.919   2.605   0.689   4.572   5.489   9.121   1.564   7.721   1.278   2.2   1.354   0.167   
C_Pd@Ir_211_hcp-t-1   1.772   2.753   2.732   1.08   4.45   9.333   3   -1.95   2.648   0.727   4.612   5.489   9.121   1.564   7.697   1.299   2.2   1.372   0.13   
C_PtRh_211_bridge2-s-1   2.244   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
C_Pt_211_hcp-s   1.915   2.838   2.794   1.04   3.9   7.667   3   -1.942   1.947   0.805   5.711   5.75   8.959   2.125   8.8   1.133   2.28   1.742   0.16   
C_Pt_211_hcp-t   2.279   2.838   2.831   1.04   3.9   9.333   3   -2.056   2.066   0.854   5.513   5.75   8.959   2.125   8.78   1.21   2.28   1.684   0.118   
C_Au@Ni_211_four-fold-s-2   1.174   2.502   2.482   0.71   1.16   8.5   4   -1.225   1.788   2.567   16.833   4.945   7.64   1.157   8.741   1.246   1.91   1.953   0.164   
C_Pt@Rh_211_four-fold-s-2   1.224   2.734   2.713   0.99   3.32   8.5   4   -1.396   2.301   1.943   11.395   5.078   7.459   1.143   7.893   1.074   2.28   1.975   0.168   
C_Au@Ni_211_hcp-t-1   2.324   2.502   2.511   0.71   1.16   9.333   3   -1.235   1.826   2.533   16.381   4.945   7.64   1.157   8.689   1.283   1.91   1.907   0.137   
C_Cu_111_hcp   4.387   2.603   2.596   0.67   1.0   9.0   3   -2.446   0.95   0.826   8.438   4.992   7.726   1.236   9.834   1.244   1.9   0.106   0.275   
C_Ag@Cu_211_fcc-s-1   4.678   2.73   2.646   0.743   1.42   8.333   3   -2.98   1.057   1.947   14.545   4.622   7.676   1.259   9.741   1.128   1.91   0.084   0.255   
C_Pd_211_fcc-t   2.295   2.819   2.82   0.94   2.78   9.667   3   -1.715   1.405   0.682   4.968   5.21   8.337   0.562   9.265   0.804   2.2   2.178   0.115   
C_Au_211_hcp-s   4.627   2.99   2.951   1.01   3.35   7.667   3   -3.155   1.359   1.444   9.9   5.28   9.226   2.309   9.734   1.227   2.54   0.085   0.251   
C_Rh_100_hollow   0.927   2.734   2.71   0.99   3.32   8.0   4   -1.413   2.025   1.234   7.427   5.266   7.459   1.143   7.942   1.054   2.28   1.838   0.184   
C_Ni_211_hcp-t   2.239   2.502   2.489   0.71   1.16   9.333   3   -1.28   1.837   2.625   16.521   4.945   7.64   1.157   8.791   1.292   1.91   1.847   0.136   
C_Ni_211_hcp-s   1.969   2.502   2.47   0.71   1.16   7.667   3   -1.2   1.701   2.672   17.722   4.945   7.64   1.157   8.842   1.186   1.91   1.883   0.194   
C_PtRh_211_four-fold-s-1   1.772   2.786   2.766   1.015   3.61   8.5   4   -1.723   2.128   1.411   8.574   5.414   8.209   1.634   8.36   1.135   2.28   1.817   0.156   
C_Au_111_hcp   4.872   2.99   2.996   1.01   3.35   9.0   3   -3.319   1.336   1.289   8.485   5.321   9.226   2.309   9.742   1.303   2.54   0.113   0.294   
C_Pt@Rh_211_hcp-t-2   1.869   2.734   2.716   0.99   3.32   9.333   3   -1.487   2.402   1.938   10.986   5.078   7.459   1.143   7.852   1.116   2.28   1.854   0.127   
C_PtRh_211_four-fold-s-2   1.57   2.786   2.766   1.015   3.61   8.5   4   -1.723   2.128   1.411   8.574   5.414   8.209   1.634   8.36   1.135   2.28   1.817   0.156   
C_Pt@Rh_211_bridge2-s-1   2.417   2.786   2.714   1.015   3.61   7.0   2   -1.667   1.96   1.45   8.576   5.414   8.209   1.634   8.369   1.009   2.28   1.633   0.221   
C_Pd@Ir_211_fcc-t-1   2.19   2.753   2.741   1.08   4.45   9.667   3   -1.974   2.689   0.75   4.659   5.489   9.121   1.564   7.696   1.311   2.2   1.347   0.117   
C_Pt@Rh_211_fcc-t-2   2.038   2.734   2.722   0.99   3.32   9.667   3   -1.497   2.45   2.016   11.326   5.078   7.459   1.143   7.841   1.123   2.28   1.822   0.115   
C_Au_211_four-fold-s   4.712   2.99   2.967   1.01   3.35   8.5   4   -3.223   1.395   1.453   9.6   5.28   9.226   2.309   9.718   1.257   2.54   0.088   0.237   
C_Pd@Ir_211_bridge2-s-1   2.419   2.786   2.742   1.01   3.615   7.0   2   -1.915   2.013   0.628   5.531   5.35   8.729   1.063   8.502   1.017   2.2   1.179   0.218   
C_IrRu_211_fcc-t-1   2.139   2.746   2.725   1.07   4.257   9.667   3   -1.777   2.517   0.766   4.709   5.289   8.534   1.391   7.43   1.177   2.2   1.283   0.134   
C_Pd@Ir_211_bridge2-s-2   1.987   2.753   2.692   1.08   4.45   7.0   2   -1.717   2.428   0.704   5.109   5.489   9.121   1.564   7.798   1.203   2.2   1.659   0.262   
C_Ir_211_four-fold-s   1.608   2.753   2.727   1.08   4.45   8.5   4   -1.846   2.584   0.717   4.829   5.489   9.121   1.564   7.753   1.272   2.2   1.436   0.178   
C_Rh_111_hcp   1.714   2.734   2.725   0.99   3.32   9.0   3   -1.516   2.023   1.077   6.347   5.347   7.459   1.143   7.991   1.094   2.28   1.765   0.158   
C_PtRh_211_bridge2-s-2   2.256   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
C_Ir_211_hcp-t   2.021   2.753   2.728   1.08   4.45   9.333   3   -2.013   2.697   0.721   4.475   5.489   9.121   1.564   7.69   1.316   2.2   1.287   0.114   
C_Cu_211_hcp-s   4.112   2.603   2.564   0.67   1.0   7.667   3   -2.319   1.009   1.693   14.788   4.719   7.726   1.236   9.708   1.166   1.9   0.095   0.256   
C_Pd_111_hcp   2.094   2.819   2.82   0.94   2.78   9.0   3   -1.614   1.339   0.576   4.833   5.422   8.337   0.562   9.319   0.764   2.2   2.113   0.127   
C_Pd_211_fcc-s   2.078   2.819   2.803   0.94   2.78   8.333   3   -1.59   1.329   0.592   5.089   5.21   8.337   0.562   9.303   0.743   2.2   2.269   0.133   
C_Cu_100_hollow   3.054   2.603   2.583   0.67   1.0   8.0   4   -2.293   1.012   1.602   13.988   4.743   7.726   1.236   9.62   1.164   1.9   0.084   0.253   
C_Pt_110_longbridge   1.732   2.838   2.804   1.04   3.9   9.0   4   -2.098   2.069   0.829   5.379   5.549   8.959   2.125   8.842   1.19   2.28   2.214   0.176   
C_PtRh_211_fcc-t-1   2.103   2.769   2.779   1.007   3.513   9.667   3   -1.69   2.284   1.52   9.002   5.302   7.959   1.47   8.177   1.208   2.28   2.017   0.114   
C_AgPd_211_four-fold-s-1   2.719   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
C_IrRu_211_four-fold-s-2   1.339   2.743   2.712   1.065   4.16   8.5   4   -1.568   2.356   0.636   4.707   5.189   8.241   1.305   7.367   1.073   2.2   1.537   0.219   
C_Ni_111_hcp   2.198   2.502   2.496   0.71   1.16   9.0   3   -1.3   1.559   1.695   10.742   5.291   7.64   1.157   8.66   1.252   1.91   1.902   0.148   
C_Au_211_bridge2-s   5.139   2.99   2.936   1.01   3.35   7.0   2   -3.127   1.323   1.431   10.044   5.28   9.226   2.309   9.732   1.2   2.54   0.079   0.26   
C_IrRu_211_hcp-s-1   1.458   2.746   2.694   1.07   4.257   7.667   3   -1.614   2.327   0.712   4.987   5.289   8.534   1.391   7.472   1.087   2.2   1.643   0.272   
C_Cu_211_four-fold-s   3.321   2.603   2.577   0.67   1.0   8.5   4   -2.372   1.044   1.711   14.207   4.719   7.726   1.236   9.714   1.208   1.9   0.097   0.244   
C_Pd@Ir_211_hcp-s-2   1.588   2.753   2.697   1.08   4.45   7.667   3   -1.806   2.55   0.765   5.155   5.489   9.121   1.564   7.751   1.234   2.2   1.542   0.215   
C_Pt@Rh_211_fcc-s-1   2.192   2.769   2.72   1.007   3.513   8.333   3   -1.66   2.171   1.592   9.071   5.302   7.959   1.47   8.173   1.081   2.28   1.629   0.163   
C_Au_110_longbridge   4.837   2.99   2.965   1.01   3.35   9.0   4   -3.273   1.42   1.387   8.981   5.23   9.226   2.309   9.684   1.274   2.54   0.084   0.241   
C_PtRh_211_hcp-t-1   1.942   2.769   2.77   1.007   3.513   9.333   3   -1.666   2.268   1.504   9.013   5.302   7.959   1.47   8.19   1.2   2.28   2.076   0.126   
