id yield_strength Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs power_temp power sol_time eff_time
3 374.22 85 0 14.5 0.5 575 300 50 24
30 563.1 84 1 15.0 0.0 550 300 40 18
7 390.29 85 0 14.5 0.5 550 400 60 24
17 506.12 85 0 14.5 0.5 550 300 50 12
26 495.7 85 0 14.5 0.5 550 300 40 15
29 507.3 85 0 15.0 0.0 550 300 40 18
16 526.77 85 0 15.0 0.0 550 300 50 12
