id hardness Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs sol_temp sol_time
1 185.78 85 0 14.5 0.5 470 60
2 179.19 100 0 0.0 0.0 470 60
3 196.18 85 0 15.0 0.0 460 50
4 176.17 100 0 0.0 0.0 465 50
5 175.41 100 0 0.0 0.0 470 50
6 188.49 85 0 14.5 0.5 470 30
