Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Pd_211_bridge1-s   1.016   2.819   2.799   0.94   2.78   8.0   2   -1.567   1.308   0.594   5.247   5.21   8.337   0.562   9.312   0.727   2.2   2.244   0.137   
CO_Ir_211_top-t   0.791   2.753   2.715   1.08   4.45   9.0   1   -2.027   2.683   0.694   4.35   5.489   9.121   1.564   7.68   1.31   2.2   1.263   0.122   
CO_AgAu_211_top-s-2   2.3   2.99   2.924   1.01   3.35   7.0   1   -3.219   1.255   1.922   13.998   5.28   9.226   2.309   9.74   1.245   2.54   0.069   0.312   
CO_PtRh_211_top-s-2   0.738   2.734   2.728   0.99   3.32   7.0   1   -1.238   2.059   1.378   9.455   5.078   7.459   1.143   8.03   1.097   2.28   2.359   0.213   
CO_IrRu_211_top-t-1   0.901   2.732   2.705   1.05   3.87   9.0   1   -1.442   2.367   0.409   4.037   4.889   7.361   1.046   7.019   0.962   2.2   1.764   0.125   
CO_Ag_211_bridge2-t   2.567   2.985   2.972   0.89   2.26   9.0   2   -4.033   1.122   3.417   25.416   4.427   7.576   1.304   9.843   1.148   1.93   0.04   0.281   
CO_Ru_211_top-t   0.867   2.732   2.696   1.05   3.87   9.0   1   -1.365   2.135   0.378   3.207   4.889   7.361   1.046   7.066   0.902   2.2   1.312   0.143   
CO_Au_100_bridge   2.284   2.99   2.987   1.01   3.35   8.0   2   -3.129   1.286   1.277   9.087   5.271   9.226   2.309   9.707   1.213   2.54   0.08   0.227   
CO_Pt@Rh_211_bridge2-t-2   0.947   2.734   2.708   0.99   3.32   9.0   2   -1.481   2.356   1.868   10.664   5.078   7.459   1.143   7.862   1.105   2.28   1.884   0.137   
CO_Ag_111_hcp   2.423   2.985   2.98   0.89   2.26   9.0   3   -4.122   0.941   2.135   15.044   4.61   7.576   1.304   9.792   1.148   1.93   0.043   0.309   
CO_Pd_111_hcp   0.789   2.819   2.82   0.94   2.78   9.0   3   -1.614   1.339   0.576   4.833   5.422   8.337   0.562   9.319   0.764   2.2   2.113   0.127   
CO_Pt@Rh_211_fcc-t-2   1.05   2.734   2.722   0.99   3.32   9.667   3   -1.497   2.45   2.016   11.326   5.078   7.459   1.143   7.841   1.123   2.28   1.822   0.115   
CO_Pd@Ir_211_bridge2-s-2   0.584   2.753   2.692   1.08   4.45   7.0   2   -1.717   2.428   0.704   5.109   5.489   9.121   1.564   7.798   1.203   2.2   1.659   0.262   
