Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Pd@Ir_211_fcc-t-1   1.38   2.753   2.741   1.08   4.45   9.667   3   -1.974   2.689   0.75   4.659   5.489   9.121   1.564   7.696   1.311   2.2   1.347   0.117   
CO_Au@Ni_211_top-s-2   0.985   2.502   2.465   0.71   1.16   7.0   1   -1.151   1.674   2.477   17.258   4.945   7.64   1.157   8.759   1.173   1.91   2.059   0.214   
CO_Rh_100_bridge   0.762   2.734   2.71   0.99   3.32   8.0   2   -1.413   2.024   1.234   7.427   5.266   7.459   1.143   7.942   1.054   2.28   1.839   0.184   
CO_Ir_211_top-s   0.347   2.753   2.699   1.08   4.45   7.0   1   -1.703   2.45   0.68   5.016   5.489   9.121   1.564   7.799   1.214   2.2   1.537   0.258   
CO_PtRh_211_hcp-t-1   0.947   2.769   2.77   1.007   3.513   9.333   3   -1.666   2.268   1.504   9.013   5.302   7.959   1.47   8.19   1.2   2.28   2.076   0.126   
CO_Ir_211_bridge2-s   0.634   2.753   2.699   1.08   4.45   7.0   2   -1.706   2.442   0.66   4.932   5.489   9.121   1.564   7.8   1.214   2.2   1.538   0.258   
CO_Ag@Cu_211_top-t-2   2.047   2.603   2.573   0.67   1.0   9.0   1   -2.411   1.108   1.956   15.386   4.719   7.726   1.236   9.752   1.236   1.9   0.106   0.243   
CO_Au_211_bridge1-s   2.535   2.99   2.959   1.01   3.35   8.0   2   -3.168   1.377   1.451   9.828   5.28   9.226   2.309   9.734   1.24   2.54   0.088   0.247   
CO_Ni_211_hcp-s   0.772   2.502   2.47   0.71   1.16   7.667   3   -1.2   1.701   2.672   17.722   4.945   7.64   1.157   8.842   1.186   1.91   1.883   0.194   
CO_Pt@Rh_211_bridge3-s-1   1.088   2.786   2.734   1.015   3.61   8.5   2   -1.763   2.153   1.553   8.677   5.414   8.209   1.634   8.316   1.088   2.28   1.439   0.159   
CO_Au@Ni_211_hcp-t-1   1.1   2.502   2.511   0.71   1.16   9.333   3   -1.235   1.826   2.533   16.381   4.945   7.64   1.157   8.689   1.283   1.91   1.907   0.137   
CO_Ru_100_bridge   0.642   2.732   2.703   1.05   3.87   8.0   2   -1.197   2.03   0.432   3.927   5.109   7.361   1.046   7.128   0.861   2.2   1.969   0.238   
CO_AgPd_211_top-s-2   1.341   2.819   2.84   0.94   2.78   7.0   1   -1.231   1.261   0.847   10.695   5.21   8.337   0.562   9.47   0.726   2.2   0.486   0.186   
CO_Ni_111_hcp   0.87   2.502   2.496   0.71   1.16   9.0   3   -1.3   1.559   1.695   10.742   5.291   7.64   1.157   8.66   1.252   1.91   1.902   0.148   
CO_Ag_211_top-s   2.335   2.985   2.946   0.89   2.26   7.0   1   -4.008   0.934   2.824   21.923   4.427   7.576   1.304   9.865   1.051   1.93   0.031   0.29   
CO_PtRh_211_bridge2-s-2   0.725   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
CO_Pd@Ir_211_bridge3-s-2   0.865   2.753   2.723   1.08   4.45   8.5   2   -1.863   2.581   0.738   4.898   5.489   9.121   1.564   7.743   1.265   2.2   1.479   0.182   
CO_Pt@Rh_211_bridge1-t-1   1.037   2.734   2.725   0.99   3.32   9.5   2   -1.477   2.422   1.928   10.986   5.078   7.459   1.143   7.857   1.143   2.28   1.83   0.123   
CO_Pd@Ir_211_bridge1-s-2   0.947   2.753   2.709   1.08   4.45   8.0   2   -1.828   2.519   0.704   4.827   5.489   9.121   1.564   7.745   1.248   2.2   1.516   0.202   
CO_Ru_211_hcp-s   0.743   2.732   2.687   1.05   3.87   7.667   3   -1.227   2.004   0.387   3.686   4.889   7.361   1.046   7.123   0.84   2.2   1.601   0.227   
CO_Pd@Ir_211_bridge2-t-1   1.04   2.753   2.725   1.08   4.45   9.0   2   -1.939   2.61   0.703   4.544   5.489   9.121   1.564   7.691   1.293   2.2   1.372   0.142   
CO_Au_211_top-t   2.451   2.99   2.982   1.01   3.35   9.0   1   -3.21   1.433   1.474   9.625   5.28   9.226   2.309   9.726   1.281   2.54   0.097   0.233   
CO_Au_110_top   2.145   2.99   2.941   1.01   3.35   7.0   1   -3.09   1.31   1.368   9.976   5.23   9.226   2.309   9.719   1.177   2.54   0.077   0.274   
CO_AgAu_211_top-t-1   2.372   2.985   2.972   0.89   2.26   9.0   1   -3.886   1.151   2.299   15.338   4.427   7.576   1.304   9.809   1.093   1.93   0.046   0.221   
CO_Rh_211_bridge1-t   0.976   2.734   2.72   0.99   3.32   9.5   2   -1.495   2.403   1.936   10.879   5.078   7.459   1.143   7.86   1.123   2.28   1.807   0.121   
CO_PtRh_211_top-s-1   0.838   2.838   2.75   1.04   3.9   7.0   1   -1.997   1.89   1.222   7.346   5.75   8.959   2.125   8.812   1.033   2.28   1.371   0.211   
CO_Pt@Rh_211_hcp-t-2   0.864   2.734   2.716   0.99   3.32   9.333   3   -1.487   2.402   1.938   10.986   5.078   7.459   1.143   7.852   1.116   2.28   1.854   0.127   
CO_AgPd_211_top-t-1   1.478   2.819   2.865   0.94   2.78   9.0   1   -1.39   1.404   1.099   10.299   5.21   8.337   0.562   9.409   0.818   2.2   0.614   0.152   
CO_Au@Ni_211_bridge2-s-2   0.771   2.502   2.465   0.71   1.16   7.0   2   -1.149   1.674   2.475   17.257   4.945   7.64   1.157   8.768   1.173   1.91   2.065   0.214   
CO_Rh_211_top-s   0.753   2.734   2.694   0.99   3.32   7.0   1   -1.293   2.1   1.885   11.473   5.078   7.459   1.143   7.974   0.988   2.28   2.07   0.24   
CO_Pt_211_bridge2-t   1.098   2.838   2.82   1.04   3.9   9.0   2   -2.037   2.06   0.845   5.528   5.75   8.959   2.125   8.772   1.199   2.28   1.789   0.129   
CO_Rh_211_bridge2-s   0.714   2.734   2.694   0.99   3.32   7.0   2   -1.293   2.099   1.886   11.48   5.078   7.459   1.143   7.969   0.987   2.28   2.07   0.24   
CO_Cu_211_bridge2-s   1.856   2.603   2.556   0.67   1.0   7.0   2   -2.282   0.955   1.452   13.621   4.719   7.726   1.236   9.722   1.129   1.9   0.09   0.264   
CO_Pt@Rh_211_hcp-t-1   0.897   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
CO_Pd_211_bridge2-s   0.854   2.819   2.79   0.94   2.78   7.0   2   -1.5   1.244   0.602   5.726   5.21   8.337   0.562   9.334   0.682   2.2   2.15   0.15   
