Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Pd_211_hcp-s   0.832   2.819   2.796   0.94   2.78   7.667   3   -1.545   1.287   0.597   5.407   5.21   8.337   0.562   9.319   0.712   2.2   2.211   0.141   
CO_Ni_211_top-t   1.151   2.502   2.482   0.71   1.16   9.0   1   -1.27   1.809   2.613   16.595   4.945   7.64   1.157   8.801   1.275   1.91   1.917   0.145   
CO_PtRh_211_top-t-2   0.825   2.734   2.753   0.99   3.32   9.0   1   -1.411   2.286   1.514   9.511   5.078   7.459   1.143   7.933   1.214   2.28   2.515   0.14   
CO_Pt@Rh_211_fcc-t-1   1.104   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
CO_Rh_110_top   0.826   2.734   2.684   0.99   3.32   7.0   1   -1.362   2.148   1.94   11.854   4.831   7.459   1.143   7.945   0.99   2.28   2.167   0.179   
CO_Rh_211_top-t   0.881   2.734   2.707   0.99   3.32   9.0   1   -1.494   2.355   1.896   10.748   5.078   7.459   1.143   7.87   1.1   2.28   1.841   0.137   
CO_Ni_211_fcc-t   1.072   2.502   2.496   0.71   1.16   9.667   3   -1.29   1.865   2.639   16.464   4.945   7.64   1.157   8.784   1.308   1.91   1.78   0.128   
CO_Pd@Ir_211_top2-t-1   1.163   2.753   2.746   1.08   4.45   10.0   1   -1.973   2.724   0.775   4.746   5.489   9.121   1.564   7.71   1.312   2.2   1.371   0.107   
CO_Pt@Rh_211_bridge1-t-3   0.987   2.734   2.717   0.99   3.32   9.5   2   -1.496   2.428   1.985   11.174   5.078   7.459   1.143   7.845   1.116   2.28   1.836   0.12   
CO_Cu_211_bridge2-t   2.086   2.603   2.581   0.67   1.0   9.0   2   -2.391   1.117   2.175   17.132   4.719   7.726   1.236   9.68   1.239   1.9   0.105   0.239   
CO_AgAu_211_bridge2-s-2   2.373   2.988   2.941   0.95   2.805   7.0   2   -3.514   1.131   2.084   14.99   4.854   8.401   1.807   9.79   1.114   2.235   0.053   0.268   
CO_AgPd_211_four-fold-s-2   1.741   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
CO_Ru_211_four-fold-s   0.986   2.732   2.703   1.05   3.87   8.5   4   -1.253   2.065   0.411   3.64   4.889   7.361   1.046   7.114   0.878   2.2   1.552   0.196   
CO_Au@Ni_211_top-t-1   1.221   2.502   2.511   0.71   1.16   9.0   1   -1.219   1.787   2.525   16.575   4.945   7.64   1.157   8.693   1.261   1.91   2.003   0.145   
CO_Au_211_bridge2-s   2.253   2.99   2.936   1.01   3.35   7.0   2   -3.127   1.323   1.431   10.044   5.28   9.226   2.309   9.732   1.2   2.54   0.079   0.26   
CO_Ni_211_bridge3-s   1.041   2.502   2.484   0.71   1.16   8.5   2   -1.231   1.769   2.678   17.366   4.945   7.64   1.157   8.821   1.232   1.91   1.786   0.169   
CO_Au@Ni_211_bridge2-t-2   0.978   2.502   2.492   0.71   1.16   9.0   2   -1.251   1.808   2.556   16.404   4.945   7.64   1.157   8.705   1.267   1.91   1.952   0.144   
CO_Cu_211_bridge1-s   2.058   2.603   2.569   0.67   1.0   8.0   2   -2.337   1.036   1.813   15.368   4.719   7.726   1.236   9.703   1.184   1.9   0.098   0.252   
CO_Au_211_top-s   2.2   2.99   2.936   1.01   3.35   7.0   1   -3.127   1.323   1.43   10.044   5.28   9.226   2.309   9.736   1.201   2.54   0.079   0.26   
CO_Cu_111_hcp   2.12   2.603   2.596   0.67   1.0   9.0   3   -2.446   0.95   0.826   8.438   4.992   7.726   1.236   9.834   1.244   1.9   0.106   0.275   
CO_PtRh_211_bridge2-s-1   0.782   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
CO_Ru_110_top   0.87   2.732   2.671   1.05   3.87   7.0   1   -1.255   1.952   0.34   3.493   4.764   7.361   1.046   7.115   0.827   2.2   1.781   0.204   
CO_Rh_211_fcc-t   1.017   2.734   2.725   0.99   3.32   9.667   3   -1.496   2.419   1.95   10.919   5.078   7.459   1.143   7.858   1.13   2.28   1.796   0.116   
CO_Pt_211_bridge2-s   0.784   2.838   2.781   1.04   3.9   7.0   2   -1.895   1.891   0.786   5.804   5.75   8.959   2.125   8.812   1.101   2.28   1.72   0.176   
CO_Ag@Cu_211_fcc-t-2   2.274   2.603   2.589   0.67   1.0   9.667   3   -2.452   1.126   1.956   14.94   4.719   7.726   1.236   9.739   1.269   1.9   0.106   0.23   
CO_Ag@Cu_211_bridge2-t-2   2.09   2.603   2.588   0.67   1.0   9.0   2   -2.405   1.064   1.604   13.541   4.719   7.726   1.236   9.735   1.242   1.9   0.105   0.248   
CO_Rh_211_hcp-t   0.847   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
CO_Cu_211_bridge3-s   2.149   2.603   2.577   0.67   1.0   8.5   2   -2.372   1.044   1.709   14.199   4.719   7.726   1.236   9.719   1.209   1.9   0.097   0.244   
CO_Pt_211_hcp-s   1.039   2.838   2.794   1.04   3.9   7.667   3   -1.942   1.947   0.805   5.711   5.75   8.959   2.125   8.8   1.133   2.28   1.742   0.16   
CO_Ag_100_bridge   2.491   2.985   2.977   0.89   2.26   8.0   2   -3.983   0.95   2.723   20.403   4.432   7.576   1.304   9.905   1.073   1.93   0.032   0.244   
