Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
O_Ni_211_bridge2-s   0.152   2.502   2.464   0.71   1.16   7.0   2   -1.158   1.645   2.703   18.313   4.945   7.64   1.157   8.86   1.141   1.91   1.873   0.218   
O_Pd_100_hollow   1.344   2.819   2.816   0.94   2.78   8.0   4   -1.528   1.308   0.817   6.652   5.279   8.337   0.562   9.316   0.721   2.2   1.885   0.135   
O_Au@Ni_211_fcc-t-2   0.487   2.502   2.491   0.71   1.16   9.667   3   -1.294   1.878   2.634   16.344   4.945   7.64   1.157   8.711   1.304   1.91   1.864   0.124   
O_Ag@Cu_211_fcc-t-2   1.009   2.603   2.589   0.67   1.0   9.667   3   -2.452   1.126   1.956   14.94   4.719   7.726   1.236   9.739   1.269   1.9   0.106   0.23   
O_AgPd_211_fcc-s-2   1.794   2.874   2.866   0.923   2.607   8.333   3   -2.043   1.254   1.444   11.141   4.949   8.083   0.809   9.576   0.84   2.11   0.383   0.169   
O_Ru_211_fcc-t   0.276   2.732   2.715   1.05   3.87   9.667   3   -1.354   2.173   0.413   3.306   4.889   7.361   1.046   7.072   0.932   2.2   1.343   0.13   
O_Ru_100_hollow   -0.312   2.732   2.703   1.05   3.87   8.0   4   -1.198   2.031   0.432   3.925   5.109   7.361   1.046   7.128   0.861   2.2   1.968   0.238   
O_AgPd_211_hcp-t-2   2.281   2.929   2.888   0.907   2.433   9.333   3   -2.807   1.216   1.944   11.51   4.688   7.83   1.057   9.701   0.94   2.02   0.24   0.155   
O_PtRh_211_bridge2-s-2   0.673   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
O_Pd_211_hcp-t   1.495   2.819   2.814   0.94   2.78   9.333   3   -1.677   1.386   0.62   4.792   5.21   8.337   0.562   9.276   0.789   2.2   2.252   0.12   
O_Ag_100_hollow   1.596   2.985   2.977   0.89   2.26   8.0   4   -3.983   0.95   2.723   20.407   4.432   7.576   1.304   9.914   1.073   1.93   0.032   0.244   
O_Cu_100_hollow   0.536   2.603   2.583   0.67   1.0   8.0   4   -2.293   1.012   1.602   13.988   4.743   7.726   1.236   9.62   1.164   1.9   0.084   0.253   
O_IrRu_211_hcp-t-2   0.736   2.746   2.713   1.07   4.257   9.333   3   -1.785   2.501   0.762   4.712   5.289   8.534   1.391   7.419   1.163   2.2   1.377   0.143   
O_Ir_111_fcc   0.749   2.753   2.743   1.08   4.45   9.0   3   -1.91   2.546   0.575   4.095   5.74   9.121   1.564   7.687   1.301   2.2   1.218   0.135   
O_Au_110_shortbridge   2.492   2.99   2.941   1.01   3.35   7.0   2   -3.09   1.31   1.368   9.976   5.23   9.226   2.309   9.719   1.177   2.54   0.077   0.274   
O_Rh_110_shortbridge   0.374   2.734   2.684   0.99   3.32   7.0   2   -1.362   2.148   1.94   11.854   4.831   7.459   1.143   7.945   0.99   2.28   2.167   0.179   
O_Ir_100_hollow   0.903   2.753   2.718   1.08   4.45   8.0   4   -1.797   2.5   0.502   4.197   5.756   9.121   1.564   7.7   1.235   2.2   1.196   0.194   
O_Rh_111_fcc   0.468   2.734   2.725   0.99   3.32   9.0   3   -1.516   2.023   1.077   6.347   5.347   7.459   1.143   7.992   1.094   2.28   1.765   0.158   
O_Pt@Rh_211_bridge2-s-1   0.669   2.786   2.714   1.015   3.61   7.0   2   -1.667   1.96   1.45   8.576   5.414   8.209   1.634   8.369   1.009   2.28   1.633   0.221   
O_Pd@Ir_211_bridge2-s-1   0.339   2.786   2.742   1.01   3.615   7.0   2   -1.915   2.013   0.628   5.531   5.35   8.729   1.063   8.502   1.017   2.2   1.179   0.218   
O_Ag_211_bridge2-s   2.338   2.985   2.946   0.89   2.26   7.0   2   -4.008   0.934   2.823   21.91   4.427   7.576   1.304   9.856   1.051   1.93   0.031   0.29   
O_Au@Ni_211_hcp-s-2   0.076   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
O_Ag_211_fcc-s   1.969   2.985   2.963   0.89   2.26   8.333   3   -4.024   1.059   3.219   24.252   4.427   7.576   1.304   9.85   1.116   1.93   0.037   0.284   
O_Ag@Cu_211_bridge2-s-2   1.195   2.603   2.552   0.67   1.0   7.0   2   -2.316   0.977   1.235   12.981   4.719   7.726   1.236   9.796   1.173   1.9   0.089   0.29   
O_AgPd_211_hcp-s-2   1.712   2.874   2.866   0.923   2.607   7.667   3   -2.026   1.214   1.576   12.415   4.949   8.083   0.809   9.584   0.803   2.11   0.379   0.179   
O_Ru_211_bridge2-s   -0.208   2.732   2.683   1.05   3.87   7.0   2   -1.158   1.939   0.39   3.925   4.889   7.361   1.046   7.152   0.809   2.2   1.745   0.269   
O_Pd@Ir_211_bridge2-s-2   0.106   2.753   2.692   1.08   4.45   7.0   2   -1.717   2.428   0.704   5.109   5.489   9.121   1.564   7.798   1.203   2.2   1.659   0.262   
O_PtRh_211_fcc-s-2   0.765   2.769   2.75   1.007   3.513   8.333   3   -1.619   2.166   1.432   8.879   5.302   7.959   1.47   8.23   1.143   2.28   2.133   0.16   
O_AgAu_211_hcp-s-1   2.223   2.988   2.949   0.97   2.987   7.667   3   -3.457   1.215   2.055   14.388   4.996   8.676   1.974   9.763   1.186   2.337   0.064   0.269   
O_Pt_211_fcc-t   1.937   2.838   2.842   1.04   3.9   9.667   3   -2.076   2.073   0.864   5.498   5.75   8.959   2.125   8.792   1.219   2.28   1.579   0.106   
O_Ag_111_fcc   2.023   2.985   2.98   0.89   2.26   9.0   3   -4.122   0.941   2.136   15.048   4.61   7.576   1.304   9.792   1.149   1.93   0.043   0.309   
O_Au_211_hcp-t   2.779   2.99   2.988   1.01   3.35   9.333   3   -3.246   1.444   1.473   9.465   5.28   9.226   2.309   9.724   1.292   2.54   0.098   0.227   
O_AgPd_211_bridge2-s-2   2.145   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
