Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CH_Au_211_fcc-s   3.319   2.99   2.967   1.01   3.35   8.333   3   -3.182   1.396   1.458   9.76   5.28   9.226   2.309   9.734   1.254   2.54   0.091   0.242   
CH_Ru_211_fcc-s   1.313   2.732   2.692   1.05   3.87   8.333   3   -1.296   2.07   0.383   3.447   4.889   7.361   1.046   7.095   0.871   2.2   1.457   0.185   
CH_Pt@Rh_211_hcp-t-1   1.015   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
CH_Pd@Ir_211_hcp-t-2   0.973   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
CH_Ag_211_four-fold-s   3.798   2.985   2.965   0.89   2.26   8.5   4   -4.042   1.034   2.954   21.737   4.427   7.576   1.304   9.847   1.128   1.93   0.037   0.276   
CH_AgPd_211_four-fold-s-2   2.641   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
CH_Ir_100_hollow   0.482   2.753   2.718   1.08   4.45   8.0   4   -1.797   2.5   0.502   4.197   5.756   9.121   1.564   7.7   1.235   2.2   1.196   0.194   
CH_Au_211_hcp-t   3.508   2.99   2.988   1.01   3.35   9.333   3   -3.246   1.444   1.473   9.465   5.28   9.226   2.309   9.724   1.292   2.54   0.098   0.227   
CH_Rh_211_fcc-t   1.132   2.734   2.725   0.99   3.32   9.667   3   -1.496   2.419   1.95   10.919   5.078   7.459   1.143   7.858   1.13   2.28   1.796   0.116   
CH_IrRu_211_fcc-s-1   1.223   2.746   2.698   1.07   4.257   8.333   3   -1.694   2.404   0.728   4.801   5.289   8.534   1.391   7.456   1.118   2.2   1.556   0.229   
CH_IrRu_211_fcc-t-1   1.145   2.746   2.725   1.07   4.257   9.667   3   -1.777   2.517   0.766   4.709   5.289   8.534   1.391   7.43   1.177   2.2   1.283   0.134   
CH_Ag_211_fcc-s   4.133   2.985   2.963   0.89   2.26   8.333   3   -4.024   1.059   3.219   24.252   4.427   7.576   1.304   9.85   1.116   1.93   0.037   0.284   
CH_Rh_110_longbridge   1.29   2.734   2.703   0.99   3.32   9.0   4   -1.524   2.374   1.937   11.072   4.831   7.459   1.143   7.884   1.09   2.28   1.979   0.13   
CH_Ag@Cu_211_hcp-s-2   2.827   2.603   2.559   0.67   1.0   7.667   3   -2.348   1.021   1.475   13.783   4.719   7.726   1.236   9.782   1.194   1.9   0.094   0.274   
CH_PtRh_211_four-fold-s-1   1.174   2.786   2.766   1.015   3.61   8.5   4   -1.723   2.128   1.411   8.574   5.414   8.209   1.634   8.36   1.135   2.28   1.817   0.156   
CH_Ag@Cu_211_bridge2-s-1   4.073   2.794   2.757   0.78   1.63   8.0   2   -3.229   1.054   2.287   16.613   4.573   7.651   1.27   9.791   1.03   1.915   0.066   0.274   
CH_AgAu_211_fcc-s-2   3.543   2.988   2.954   0.97   2.987   8.333   3   -3.482   1.262   2.073   14.173   4.996   8.676   1.974   9.754   1.223   2.337   0.066   0.268   
CH_Cu_211_bridge2-s   3.456   2.603   2.556   0.67   1.0   7.0   2   -2.282   0.955   1.452   13.621   4.719   7.726   1.236   9.722   1.129   1.9   0.09   0.264   
CH_Pt@Rh_211_four-fold-s-1   1.121   2.76   2.724   1.003   3.465   8.5   4   -1.579   2.227   1.748   10.036   5.246   7.834   1.388   8.104   1.081   2.28   1.707   0.164   
CH_IrRu_211_four-fold-s-1   0.818   2.743   2.712   1.065   4.16   8.5   4   -1.568   2.356   0.636   4.707   5.189   8.241   1.305   7.367   1.073   2.2   1.537   0.219   
CH_Ru_111_hcp   0.606   2.732   2.71   1.05   3.87   9.0   3   -1.319   2.084   0.338   3.173   5.266   7.361   1.046   7.071   0.888   2.2   2.11   0.216   
CH_Cu_100_hollow   2.215   2.603   2.583   0.67   1.0   8.0   4   -2.293   1.012   1.602   13.988   4.743   7.726   1.236   9.62   1.164   1.9   0.084   0.253   
CH_Ag@Cu_211_bridge2-s-2   3.506   2.603   2.552   0.67   1.0   7.0   2   -2.316   0.977   1.235   12.981   4.719   7.726   1.236   9.796   1.173   1.9   0.089   0.29   
CH_Cu_111_hcp   3.028   2.603   2.596   0.67   1.0   9.0   3   -2.446   0.95   0.826   8.438   4.992   7.726   1.236   9.834   1.244   1.9   0.106   0.275   
CH_Ru_211_four-fold-s   0.703   2.732   2.703   1.05   3.87   8.5   4   -1.253   2.065   0.411   3.64   4.889   7.361   1.046   7.114   0.878   2.2   1.552   0.196   
CH_Pd@Ir_211_hcp-t-1   0.811   2.753   2.732   1.08   4.45   9.333   3   -1.95   2.648   0.727   4.612   5.489   9.121   1.564   7.697   1.299   2.2   1.372   0.13   
CH_AgPd_211_hcp-s-2   2.522   2.874   2.866   0.923   2.607   7.667   3   -2.026   1.214   1.576   12.415   4.949   8.083   0.809   9.584   0.803   2.11   0.379   0.179   
CH_AgPd_211_hcp-t-1   2.441   2.874   2.88   0.923   2.607   9.333   3   -2.108   1.318   1.526   10.879   4.949   8.083   0.809   9.551   0.885   2.11   0.394   0.16   
CH_Pd@Ir_211_hcp-s-1   0.953   2.775   2.736   1.033   3.893   7.667   3   -1.923   2.212   0.653   5.202   5.396   8.86   1.23   8.232   1.109   2.2   1.243   0.192   
CH_PtRh_211_bridge2-s-1   1.482   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
CH_AgPd_211_four-fold-s-1   2.635   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
CH_Ag_100_hollow   3.659   2.985   2.977   0.89   2.26   8.0   4   -3.983   0.95   2.723   20.407   4.432   7.576   1.304   9.914   1.073   1.93   0.032   0.244   
CH_Pt_110_threefold   1.198   2.838   2.794   1.04   3.9   8.333   3   -2.026   2.016   0.798   5.481   5.549   8.959   2.125   8.858   1.153   2.28   2.269   0.198   
CH_PtRh_211_four-fold-s-2   1.313   2.786   2.766   1.015   3.61   8.5   4   -1.723   2.128   1.411   8.574   5.414   8.209   1.634   8.36   1.135   2.28   1.817   0.156   
CH_Ir_211_bridge2-s   0.846   2.753   2.699   1.08   4.45   7.0   2   -1.706   2.442   0.66   4.932   5.489   9.121   1.564   7.8   1.214   2.2   1.538   0.258   
CH_Pt@Rh_211_bridge2-s-1   1.537   2.786   2.714   1.015   3.61   7.0   2   -1.667   1.96   1.45   8.576   5.414   8.209   1.634   8.369   1.009   2.28   1.633   0.221   
CH_Au@Ni_211_four-fold-s-2   0.903   2.502   2.482   0.71   1.16   8.5   4   -1.225   1.788   2.567   16.833   4.945   7.64   1.157   8.741   1.246   1.91   1.953   0.164   
CH_Pt_211_hcp-s   1.063   2.838   2.794   1.04   3.9   7.667   3   -1.942   1.947   0.805   5.711   5.75   8.959   2.125   8.8   1.133   2.28   1.742   0.16   
CH_Ir_110_threefold   1.063   2.753   2.708   1.08   4.45   8.333   3   -1.949   2.643   0.794   5.102   5.208   9.121   1.564   7.711   1.246   2.2   1.636   0.193   
CH_Ru_211_hcp-t   0.812   2.732   2.706   1.05   3.87   9.333   3   -1.359   2.154   0.396   3.257   4.889   7.361   1.046   7.068   0.917   2.2   1.328   0.137   
CH_AgAu_211_hcp-t-1   3.733   2.988   2.969   0.97   2.987   9.333   3   -3.564   1.316   2.077   13.572   4.996   8.676   1.974   9.74   1.266   2.337   0.072   0.249   
CH_Au@Ni_211_fcc-t-1   1.471   2.502   2.508   0.71   1.16   9.667   3   -1.261   1.864   2.577   16.318   4.945   7.64   1.157   8.691   1.303   1.91   1.856   0.126   
CH_Pt_111_hcp   1.082   2.838   2.838   1.04   3.9   9.0   3   -1.944   1.98   0.835   5.619   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
CH_AgAu_211_fcc-s-1   3.972   2.987   2.965   0.93   2.623   8.333   3   -3.679   1.18   2.18   14.835   4.712   8.126   1.639   9.786   1.136   2.133   0.056   0.239   
CH_Pd_211_hcp-t   1.418   2.819   2.814   0.94   2.78   9.333   3   -1.677   1.386   0.62   4.792   5.21   8.337   0.562   9.276   0.789   2.2   2.252   0.12   
CH_Ni_211_fcc-s   1.318   2.502   2.476   0.71   1.16   8.333   3   -1.236   1.755   2.642   17.151   4.945   7.64   1.157   8.821   1.231   1.91   1.903   0.169   
CH_Au_211_bridge2-s   3.793   2.99   2.936   1.01   3.35   7.0   2   -3.127   1.323   1.431   10.044   5.28   9.226   2.309   9.732   1.2   2.54   0.079   0.26   
CH_Ir_211_hcp-s   0.677   2.753   2.704   1.08   4.45   7.667   3   -1.813   2.522   0.671   4.737   5.489   9.121   1.564   7.761   1.246   2.2   1.446   0.213   
CH_IrRu_211_hcp-t-1   0.961   2.739   2.716   1.06   4.063   9.333   3   -1.603   2.444   0.593   4.399   5.089   7.948   1.219   7.23   1.072   2.2   1.521   0.133   
CH_AgAu_211_hcp-s-1   3.442   2.988   2.949   0.97   2.987   7.667   3   -3.457   1.215   2.055   14.388   4.996   8.676   1.974   9.763   1.186   2.337   0.064   0.269   
CH_Ir_211_hcp-t   0.949   2.753   2.728   1.08   4.45   9.333   3   -2.013   2.697   0.721   4.475   5.489   9.121   1.564   7.69   1.316   2.2   1.287   0.114   
CH_Pd@Ir_211_four-fold-s-1   1.061   2.77   2.746   1.045   4.032   8.5   4   -1.954   2.371   0.701   5.123   5.42   8.925   1.314   8.1   1.169   2.2   1.257   0.161   
CH_Pt@Rh_211_four-fold-s-2   0.963   2.734   2.713   0.99   3.32   8.5   4   -1.396   2.301   1.943   11.395   5.078   7.459   1.143   7.893   1.074   2.28   1.975   0.168   
CH_Ag_110_longbridge   4.052   2.985   2.966   0.89   2.26   9.0   4   -4.07   1.034   2.618   18.619   4.398   7.576   1.304   9.876   1.158   1.93   0.039   0.307   
CH_AgPd_211_fcc-s-2   2.584   2.874   2.866   0.923   2.607   8.333   3   -2.043   1.254   1.444   11.141   4.949   8.083   0.809   9.576   0.84   2.11   0.383   0.169   
CH_Ag@Cu_211_four-fold-s-2   2.421   2.603   2.575   0.67   1.0   8.5   4   -2.394   1.056   1.596   13.849   4.719   7.726   1.236   9.764   1.23   1.9   0.097   0.257   
CH_AgPd_211_bridge2-s-2   3.658   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
CH_Ru_211_hcp-s   0.751   2.732   2.687   1.05   3.87   7.667   3   -1.227   2.004   0.387   3.686   4.889   7.361   1.046   7.123   0.84   2.2   1.601   0.227   
CH_Au_211_fcc-t   3.594   2.99   2.993   1.01   3.35   9.667   3   -3.283   1.455   1.473   9.308   5.28   9.226   2.309   9.715   1.303   2.54   0.098   0.22   
CH_PtRh_211_fcc-t-2   1.423   2.803   2.785   1.023   3.707   9.667   3   -1.955   2.239   1.483   8.389   5.526   8.459   1.798   8.442   1.177   2.28   1.687   0.11   
CH_Pd_211_four-fold-s   1.443   2.819   2.808   0.94   2.78   8.5   4   -1.628   1.333   0.665   5.397   5.21   8.337   0.562   9.293   0.751   2.2   2.125   0.13   
CH_Au@Ni_211_hcp-t-2   1.305   2.502   2.495   0.71   1.16   9.333   3   -1.268   1.839   2.59   16.407   4.945   7.64   1.157   8.709   1.284   1.91   1.915   0.134   
CH_Ru_110_threefold   1.031   2.732   2.686   1.05   3.87   8.333   3   -1.35   2.07   0.377   3.309   4.764   7.361   1.046   7.1   0.878   2.2   1.579   0.17   
CH_PtRh_211_hcp-t-2   1.288   2.803   2.773   1.023   3.707   9.333   3   -1.966   2.213   1.456   8.274   5.526   8.459   1.798   8.449   1.158   2.28   1.796   0.119   
CH_PtRh_211_hcp-s-1   0.982   2.769   2.744   1.007   3.513   7.667   3   -1.549   2.078   1.371   8.771   5.302   7.959   1.47   8.258   1.115   2.28   2.082   0.188   
CH_PtRh_211_fcc-s-2   1.07   2.769   2.75   1.007   3.513   8.333   3   -1.619   2.166   1.432   8.879   5.302   7.959   1.47   8.23   1.143   2.28   2.133   0.16   
CH_Rh_100_hollow   0.688   2.734   2.71   0.99   3.32   8.0   4   -1.413   2.025   1.234   7.427   5.266   7.459   1.143   7.942   1.054   2.28   1.838   0.184   
CH_Pt@Rh_211_fcc-t-1   1.169   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
CH_Pd@Ir_211_hcp-s-2   0.829   2.753   2.697   1.08   4.45   7.667   3   -1.806   2.55   0.765   5.155   5.489   9.121   1.564   7.751   1.234   2.2   1.542   0.215   
CH_Rh_211_four-fold-s   0.967   2.734   2.714   0.99   3.32   8.5   4   -1.395   2.276   1.931   11.24   5.078   7.459   1.143   7.91   1.066   2.28   1.921   0.173   
CH_PtRh_211_fcc-s-1   1.447   2.803   2.758   1.023   3.707   8.333   3   -1.871   2.11   1.38   8.176   5.526   8.459   1.798   8.491   1.122   2.28   1.804   0.159   
CH_Pt@Rh_211_fcc-s-2   1.183   2.734   2.704   0.99   3.32   8.333   3   -1.418   2.273   1.848   10.83   5.078   7.459   1.143   7.892   1.074   2.28   1.975   0.168   
CH_Ni_110_longbridge   1.26   2.502   2.477   0.71   1.16   9.0   4   -1.316   1.818   2.609   16.556   4.733   7.64   1.157   8.721   1.264   1.91   1.978   0.139   
CH_IrRu_211_hcp-t-2   0.921   2.746   2.713   1.07   4.257   9.333   3   -1.785   2.501   0.762   4.712   5.289   8.534   1.391   7.419   1.163   2.2   1.377   0.143   
CH_Ag@Cu_211_hcp-t-2   2.953   2.603   2.591   0.67   1.0   9.333   3   -2.427   1.088   1.721   13.933   4.719   7.726   1.236   9.734   1.257   1.9   0.105   0.24   
CH_Au_111_hcp   3.511   2.99   2.996   1.01   3.35   9.0   3   -3.319   1.336   1.289   8.485   5.321   9.226   2.309   9.742   1.303   2.54   0.113   0.294   
CH_Pd_211_fcc-t   1.529   2.819   2.82   0.94   2.78   9.667   3   -1.715   1.405   0.682   4.968   5.21   8.337   0.562   9.265   0.804   2.2   2.178   0.115   
CH_Pd_211_hcp-s   1.439   2.819   2.796   0.94   2.78   7.667   3   -1.545   1.287   0.597   5.407   5.21   8.337   0.562   9.319   0.712   2.2   2.211   0.141   
CH_Pd_100_hollow   1.229   2.819   2.816   0.94   2.78   8.0   4   -1.528   1.308   0.817   6.652   5.279   8.337   0.562   9.316   0.721   2.2   1.885   0.135   
CH_AgPd_211_bridge2-s-1   3.664   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
CH_AgAu_211_four-fold-s-2   3.624   2.988   2.961   0.95   2.805   8.5   4   -3.602   1.221   2.127   14.442   4.854   8.401   1.807   9.765   1.185   2.235   0.061   0.25   
CH_Au_100_hollow   3.368   2.99   2.987   1.01   3.35   8.0   4   -3.129   1.287   1.276   9.086   5.271   9.226   2.309   9.707   1.212   2.54   0.08   0.227   
CH_Pd@Ir_211_fcc-s-1   1.228   2.775   2.747   1.033   3.893   8.333   3   -1.997   2.273   0.653   5.014   5.396   8.86   1.23   8.196   1.139   2.2   1.148   0.152   
CH_Ir_211_fcc-t   1.025   2.753   2.741   1.08   4.45   9.667   3   -2.0   2.712   0.747   4.601   5.489   9.121   1.564   7.699   1.323   2.2   1.311   0.106   
CH_Pt_211_bridge2-s   1.472   2.838   2.781   1.04   3.9   7.0   2   -1.895   1.891   0.786   5.804   5.75   8.959   2.125   8.812   1.101   2.28   1.72   0.176   
CH_Rh_211_fcc-s   1.198   2.734   2.703   0.99   3.32   8.333   3   -1.426   2.27   1.892   10.993   5.078   7.459   1.143   7.906   1.063   2.28   1.918   0.171   
CH_Ir_211_fcc-s   1.067   2.753   2.709   1.08   4.45   8.333   3   -1.919   2.605   0.689   4.572   5.489   9.121   1.564   7.721   1.278   2.2   1.354   0.167   
CH_IrRu_211_fcc-t-2   1.081   2.739   2.725   1.06   4.063   9.667   3   -1.608   2.455   0.587   4.345   5.089   7.948   1.219   7.23   1.081   2.2   1.432   0.119   
CH_Pt_211_hcp-t   1.198   2.838   2.831   1.04   3.9   9.333   3   -2.056   2.066   0.854   5.513   5.75   8.959   2.125   8.78   1.21   2.28   1.684   0.118   
CH_PtRh_211_hcp-t-1   1.029   2.769   2.77   1.007   3.513   9.333   3   -1.666   2.268   1.504   9.013   5.302   7.959   1.47   8.19   1.2   2.28   2.076   0.126   
CH_AgPd_211_hcp-s-1   3.474   2.929   2.875   0.907   2.433   7.667   3   -2.732   1.111   2.005   13.125   4.688   7.83   1.057   9.731   0.856   2.02   0.191   0.184   
CH_AgAu_211_hcp-s-2   4.052   2.987   2.951   0.93   2.623   7.667   3   -3.638   1.138   2.156   15.106   4.712   8.126   1.639   9.796   1.107   2.133   0.051   0.253   
CH_Rh_211_hcp-t   1.01   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
CH_Pd@Ir_211_four-fold-s-2   0.936   2.753   2.723   1.08   4.45   8.5   4   -1.863   2.581   0.738   4.898   5.489   9.121   1.564   7.743   1.265   2.2   1.479   0.182   
CH_Ni_211_four-fold-s   0.953   2.502   2.484   0.71   1.16   8.5   4   -1.225   1.768   2.678   17.369   4.945   7.64   1.157   8.817   1.232   1.91   1.796   0.169   
